id,county,rural_urban,urban_influence,less_than_high_school,high_school,bachelors,clinton,trump,otherVotes,totalVotes,num_pov_all,percent_pov_all,num_pov_child,percent_pov_child,labor_total_2014,employed_2014,unemployed_2014,labor_total_2015,employed_2015,unemployed_2015,labor_total_2016,employed_2016,unemployed_2016,labor_total_2017,employed_2017,unemployed_2017,med_household_income_2017,medHHIncome_percent_state_2017,totalPop,white,black,native,asian,pacificIslander,otherRace,multiracial,hispanicLatino,whiteAlone,census_2009,estimate_2010,estimate_2011,estimate_2012,estimate_2013,estimate_2014,estimate_2015,prelim_estimate_2016,projection_2017,id.1,school_name,school_year,k12_enrollment,all_immunizations,any_exempt,medical_exempt,personal_exempt,religious_exempt,religious_mem_exempt,diphtheria_tetanus,pertussis,mmr,polio,hepatitisB,varicella,school_district,start_grade,end_grade,total_enrollment,school_american_indian_alaskan_native,school_asian,school_asian_pacific_islander,school_pacific_islander,school_black,school_hispanic,school_white,school_two_or_more_race,male,female,num_free_reduced_meals,district_number,city,zip,school_code,total_percent_absences,low_income_absence_percent
6,clark,1,1,"24,507","74,832","88,831","92,757","92,441","14,962","200,160","48,088",10.2,"15,499",13.6,"209,309","194,621","14,688","214,351","200,483","13,868","220,790","207,514","13,276",227382,215782,11600,"$74,243 ",104.7,425363,85.4,2,0.9,4.1,0.6,2.9,4,7.6,81.8,"54,370","54,581","54,951","56,054","57,852","61,711","63,639","66,782","71,618",55,frontier middle,2015,800,294,50,8,36,7,0,43,41,38,40,34,21,evergreen school district (clark),6,8,803,5,52,5,57,19,131,544,47,416,387,373,6114,vancouver,98682,4498,0.83%,1.20%
31,snohomish,1,1,"42,779","125,483","166,141","185,227","128,255","28,691","342,173","58,157",7.3,"15,712",8.8,"395,565","374,903","20,662","401,650","382,890","18,760","412,294","394,461","17,833",421369,403989,17380,"$82,405 ",116.2,713335,78.4,2.5,1.4,8.9,0.4,3.8,4.6,9,74.3,"63,297","62,034","62,687","64,033","64,391","68,637","75,292","77,985","80,579",58,index elementary,2015,43,16,10,0,10,0,0,6,3,3,2,4,4,index school district,-1,8,46,0,0,0,0,0,1,45,0,20,26,18,31063,index,98256,2948,1.41%,3.15%
6,clark,1,1,"24,507","74,832","88,831","92,757","92,441","14,962","200,160","48,088",10.2,"15,499",13.6,"209,309","194,621","14,688","214,351","200,483","13,868","220,790","207,514","13,276",227382,215782,11600,"$74,243 ",104.7,425363,85.4,2,0.9,4.1,0.6,2.9,4,7.6,81.8,"54,370","54,581","54,951","56,054","57,852","61,711","63,639","66,782","71,618",59,49th street academy,2015,131,49,6,1,4,1,0,6,2,4,4,2,1,evergreen school district (clark),0,12,119,1,4,0,4,10,10,80,14,97,22,88,6114,vancouver,98682,1646,2.61%,3.24%
32,spokane,2,2,"21,961","82,002","97,348","93,767","113,435","20,044","227,246","69,334",14.1,"18,816",17,"225,474","209,773","15,701","227,903","212,951","14,952","234,478","220,390","14,088",240421,227426,12995,"$53,438 ",75.3,471221,89.2,1.7,1.5,2.1,0.4,1.2,3.8,4.5,86.7,"46,983","46,320","46,846","48,265","48,312","50,856","48,189","49,482","53,809",61,bryant center,2015,629,236,98,1,91,5,0,78,78,71,66,71,84,spokane school district,-1,12,621,3,13,1,14,8,66,475,55,320,301,214,32081,spokane,99201,3008,0.00%,0.00%
17,king,1,1,"110,255","233,178","754,825","718,322","216,339","63,838","998,499","200,415",9.3,"51,372",11.6,"1,158,195","1,103,941","54,254","1,178,040","1,127,580","50,460","1,204,361","1,156,940","47,421",1230208,1184708,45500,"$89,519 ",126.2,1931249,68.7,6.2,0.8,14.6,0.8,3.9,5,8.9,64.8,"65,877","65,383","66,294","68,313","71,122","75,045","80,998","84,897","89,142",62,home education exchange,2015,115,44,17,0,17,0,0,16,17,17,17,16,15,shoreline school district,0,10,111,1,3,0,3,3,11,91,2,59,52,7,17412,shoreline,98155,1771,0.00%,0.00%
4,chelan,3,2,"8,678","13,920","13,296","13,032","18,114","2,234","33,380","10,059",13.3,"3,058",17,"41,171","38,639","2,532","42,636","40,246","2,390","43,289","40,840","2,449",44518,42349,2169,"$57,284 ",80.7,72453,79.3,0.3,1,0.8,0.1,15.7,2.7,25.8,70.7,"46,780","45,478","46,275","47,265","51,713","50,825","53,068","55,109","53,388",66,holden village community,2015,18,7,8,0,8,0,0,7,7,7,7,8,8,lake chelan school district,0,12,18,0,0,0,0,2,0,16,0,11,7,0,4129,chelan,98816,3861,2.49%,1.69%
2,asotin,3,2,"1,610","4,546","3,402","3,134","5,741",861,"9,736","2,867",12.9,966,21.3,"9,707","9,186",521,"9,679","9,212",467,"9,964","9,473",491,10262,9833,429,"$50,777 ",71.6,21623,94.3,0.4,1.4,0.5,0.2,0.8,2.4,3,92.6,"40,035","39,820","40,171","41,703","42,174","43,368","46,107","47,020","46,564",72,special services,2015,10,4,2,1,1,0,0,1,1,2,1,0,1,clarkston school district,-1,12,46,1,0,0,0,1,2,37,5,32,14,30,2250,clarkston,99403,3616,0.97%,2.92%
34,thurston,2,2,"11,679","41,393","64,621","68,798","48,624","11,988","129,410","29,034",10.5,"7,476",12.5,"123,392","115,391","8,001","125,764","118,204","7,560","129,787","122,547","7,240",134847,128150,6697,"$71,370 ",100.6,252264,82.4,2.7,1.4,5.2,0.8,2.2,5.3,7.1,78.9,"60,978","60,038","60,621","62,009","63,408","65,288","61,676","63,286","66,725",78,olympia regional learning academy,2015,307,130,79,26,49,2,2,58,54,58,56,65,37,olympia school district,0,12,304,1,3,0,3,4,11,255,30,161,143,109,34111,olympia,98501,5078,0.00%,0.00%
16,jefferson,6,6,"1,365","5,231","10,000","12,656","6,037","1,583","20,276","3,886",12.7,777,20.7,"11,196","10,299",897,"11,200","10,397",803,"11,507","10,703",804,12021,11285,736,"$53,364 ",75.2,29872,91,0.8,2.3,1.6,0.2,0.7,3.4,2.8,89.3,"45,225","43,814","44,348","46,651","46,957","50,161","52,887","54,864","54,786",83,pi program,2015,89,39,33,2,23,9,0,30,29,31,29,30,15,chimacum school district,0,12,81,1,1,1,2,0,3,68,7,40,41,30,16049,chimacum,98325,1724,0.00%,0.00%
33,stevens,2,2,"3,295","10,412","5,805","5,767","15,161","1,749","22,677","6,589",14.8,"2,258",23.6,"17,400","15,781","1,619","17,451","15,886","1,565","17,882","16,428","1,454",18284,16956,1328,"$52,136 ",73.5,43531,89.4,0.3,5.5,0.5,0.2,0.7,3.3,2.7,87.9,"41,619","40,008","40,282","41,643","45,528","45,683","42,417","44,467","53,245",86,northport elementary,2015,106,47,21,2,18,1,0,15,16,18,15,12,11,northport school district,0,8,94,0,0,0,0,0,9,83,2,48,46,74,33211,northport,99157,2062,1.19%,1.56%
14,grays harbor,4,5,"5,801","17,067","7,759","12,020","14,067","2,280","28,367","12,780",18.3,"3,801",26.1,"27,202","24,451","2,751","26,928","24,474","2,454","27,238","24,993","2,245",27971,25993,1978,"$47,619 ",67.1,72797,84.9,1.1,4.6,1.4,0.3,3.9,3.9,8.6,81.4,"39,927","39,452","39,836","40,354","40,323","41,687","43,902","44,627","48,517",93,emerson elementary,2015,239,110,1,1,0,0,0,0,0,0,0,0,1,hoquiam school district,0,1,237,12,0,0,0,2,63,154,6,117,120,175,14028,hoquiam,98550,2268,0.34%,0.43%
34,thurston,2,2,"11,679","41,393","64,621","68,798","48,624","11,988","129,410","29,034",10.5,"7,476",12.5,"123,392","115,391","8,001","125,764","118,204","7,560","129,787","122,547","7,240",134847,128150,6697,"$71,370 ",100.6,252264,82.4,2.7,1.4,5.2,0.8,2.2,5.3,7.1,78.9,"60,978","60,038","60,621","62,009","63,408","65,288","61,676","63,286","66,725",103,lincoln elementary,2015,298,148,115,19,96,3,0,69,68,82,92,100,100,olympia school district,0,5,292,1,4,0,4,3,28,234,22,140,152,79,34111,olympia,98501,2342,0.37%,1.02%
32,spokane,2,2,"21,961","82,002","97,348","93,767","113,435","20,044","227,246","69,334",14.1,"18,816",17,"225,474","209,773","15,701","227,903","212,951","14,952","234,478","220,390","14,088",240421,227426,12995,"$53,438 ",75.3,471221,89.2,1.7,1.5,2.1,0.4,1.2,3.8,4.5,86.7,"46,983","46,320","46,846","48,265","48,312","50,856","48,189","49,482","53,809",105,daybreak alternative,2015,30,15,2,1,1,0,0,1,1,1,1,1,2,spokane school district,8,12,6,0,0,0,0,0,0,6,0,5,1,0,32081,spokane,99202,1603,0.00%,0.00%
15,island,4,3,"2,948","13,092","18,840","20,960","18,465","3,451","42,876","7,467",9.2,"1,821",12.1,"31,725","29,630","2,095","31,767","29,814","1,953","32,737","30,827","1,910",34259,32475,1784,"$63,529 ",89.6,78506,86.1,2.2,0.8,4.4,0.5,1.5,4.5,5.5,83.1,"55,016","53,754","54,206","55,091","52,014","57,919","59,961","61,691","65,671",106,south whidbey academy,2015,116,58,28,1,26,1,2,20,19,24,25,24,12,south whidbey school district,0,12,109,2,2,0,2,1,8,95,1,55,54,61,15206,langley,98260,1682,0.00%,0.00%
6,clark,1,1,"24,507","74,832","88,831","92,757","92,441","14,962","200,160","48,088",10.2,"15,499",13.6,"209,309","194,621","14,688","214,351","200,483","13,868","220,790","207,514","13,276",227382,215782,11600,"$74,243 ",104.7,425363,85.4,2,0.9,4.1,0.6,2.9,4,7.6,81.8,"54,370","54,581","54,951","56,054","57,852","61,711","63,639","66,782","71,618",108,vancouver home connection,2015,270,136,117,4,94,20,0,106,103,94,93,89,64,vancouver school district,0,12,272,0,1,0,1,2,19,233,17,141,131,113,6037,vancouver,98668,3556,3.20%,3.60%
32,spokane,2,2,"21,961","82,002","97,348","93,767","113,435","20,044","227,246","69,334",14.1,"18,816",17,"225,474","209,773","15,701","227,903","212,951","14,952","234,478","220,390","14,088",240421,227426,12995,"$53,438 ",75.3,471221,89.2,1.7,1.5,2.1,0.4,1.2,3.8,4.5,86.7,"46,983","46,320","46,846","48,265","48,312","50,856","48,189","49,482","53,809",109,spokane valley learning academy,2015,83,42,20,2,19,0,0,19,19,16,16,19,16,central valley school district,0,12,80,0,2,0,2,2,0,75,1,39,41,20,32356,spokane valley,99216,1964,0.83%,2.06%
32,spokane,2,2,"21,961","82,002","97,348","93,767","113,435","20,044","227,246","69,334",14.1,"18,816",17,"225,474","209,773","15,701","227,903","212,951","14,952","234,478","220,390","14,088",240421,227426,12995,"$53,438 ",75.3,471221,89.2,1.7,1.5,2.1,0.4,1.2,3.8,4.5,86.7,"46,983","46,320","46,846","48,265","48,312","50,856","48,189","49,482","53,809",112,roosevelt elementary,2015,496,253,19,5,14,0,0,11,11,11,11,15,17,spokane school district,-1,6,523,6,17,7,24,29,63,334,67,258,265,336,32081,spokane,99204,2086,0.66%,0.94%
34,thurston,2,2,"11,679","41,393","64,621","68,798","48,624","11,988","129,410","29,034",10.5,"7,476",12.5,"123,392","115,391","8,001","125,764","118,204","7,560","129,787","122,547","7,240",134847,128150,6697,"$71,370 ",100.6,252264,82.4,2.7,1.4,5.2,0.8,2.2,5.3,7.1,78.9,"60,978","60,038","60,621","62,009","63,408","65,288","61,676","63,286","66,725",120,madison elementary,2015,244,129,16,2,12,2,1,8,8,9,8,14,10,olympia school district,0,5,264,1,16,2,18,6,45,163,31,147,117,121,34111,olympia,98501,3066,0.84%,1.68%
