District Code,District,School Code,School,Days In Year,Grade 1-8 Students,American Indian,Asian,Pacific Islander,Black,Hispanic,White,Two or More Races,Special Education,Bilingual,Low Income,Grade Span,Confirmed Reported Grade 1-8 Data
31015,Edmonds,3409,Cedar Valley Community School,162,0.89%,0.21%,0.53%,0.00%,0.35%,0.81%,1.46%,0.95%,0.94%,0.81%,1.08%,K-6,Yes
31015,Edmonds,3410,Spruce Elementary,162,0.91%,0.00%,0.21%,0.62%,1.00%,1.22%,0.92%,1.38%,0.90%,0.91%,1.31%,K-6,Yes
32081,Spokane,3413,Salk Middle School,168,0.70%,1.65%,0.00%,4.46%,0.40%,0.64%,0.63%,0.88%,1.24%,0.20%,1.09%,8-Jun,Yes
32354,Mead,3414,Evergreen Elementary School,170,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,K-6,Yes
37504,Lynden,3417,Fisher Elementary School,162,0.13%,0.00%,0.00%,0.00%,0.00%,0.16%,0.12%,0.06%,0.22%,0.12%,0.19%,K-5,Yes
38265,Tekoa,3418,Tekoa High School,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,12-Jul,No
38267,Pullman,3419,Lincoln Middle School,168,0.17%,0.30%,0.00%,0.00%,0.00%,0.08%,0.21%,0.09%,0.85%,0.00%,0.56%,8-Jun,Yes
1158,Lind,3421,Lind Elementary School,165,0.87%,0.00%,0.00%,0.00%,0.00%,0.97%,0.83%,0.00%,0.61%,0.93%,1.08%,PK-5,Yes
5401,Cape Flattery,3422,Clallam Bay High & Elementary,169,1.43%,2.01%,0.00%,0.00%,0.00%,2.47%,0.46%,1.10%,1.78%,0.00%,1.66%,K-12,Yes
6037,Vancouver,3424,George C Marshall Elementary,161,0.73%,3.88%,0.00%,1.86%,0.41%,0.78%,0.56%,0.65%,0.60%,0.93%,0.92%,K-5,Yes
11001,Pasco,3425,Edwin Markham Elementary,164,0.29%,0.30%,0.00%,0.00%,1.83%,0.36%,0.24%,0.49%,0.35%,0.27%,0.46%,K-6,Yes
13144,Quincy,3426,George Elementary,162,0.08%,0.00%,0.00%,0.00%,0.00%,0.09%,0.00%,0.00%,0.19%,0.12%,0.08%,K-4,Yes
17001,Seattle,3429,Genesee Hill Elementary,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,K-5,No
17216,Enumclaw,3430,Black Diamond Elementary,164,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,K-5,Yes
17210,Federal Way,3431,Totem Middle School,159,0.90%,0.63%,0.25%,0.77%,1.15%,1.10%,0.75%,0.93%,1.16%,1.30%,1.14%,8-Jun,Yes
17210,Federal Way,3432,Olympic View Elementary School,159,1.53%,1.89%,0.48%,2.87%,1.89%,1.28%,2.28%,1.37%,1.26%,0.99%,1.70%,PK-5,Yes
17400,Mercer Island,3433,West Mercer Elementary,168,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,K-5,Yes
17403,Renton,3434,Nelsen Middle School,164,0.94%,4.67%,0.17%,2.52%,1.07%,1.02%,1.03%,1.95%,2.06%,0.76%,1.30%,8-Jun,Yes
17405,Bellevue,3435,Tillicum Middle School,161,0.14%,0.00%,0.29%,0.00%,0.80%,0.15%,0.06%,0.06%,0.30%,0.30%,0.59%,8-Jun,Yes
17405,Bellevue,3436,Medina Elementary School,161,0.43%,0.00%,0.26%,0.00%,0.62%,0.69%,0.58%,0.58%,0.76%,0.74%,0.55%,PK-5,Yes
17405,Bellevue,3437,Newport Heights Elementary,161,0.49%,0.00%,0.39%,0.00%,1.00%,1.12%,0.39%,0.58%,1.08%,0.79%,1.25%,K-5,Yes
17408,Auburn,3439,Chinook Elementary School,161,0.46%,0.99%,0.17%,1.71%,0.28%,0.23%,0.20%,0.77%,0.47%,0.37%,0.51%,PK-5,Yes
17411,Issaquah,3440,Briarwood Elementary,166,0.38%,0.00%,0.36%,0.40%,0.67%,0.56%,0.36%,0.31%,0.60%,0.84%,0.86%,K-5,Yes
17414,Lake Washington,3441,Twain Elementary,163,0.61%,0.00%,0.48%,0.00%,0.61%,1.37%,0.46%,0.70%,1.03%,1.30%,1.45%,K-5,Yes
17417,Northshore,3442,Moorlands Elementary,162,0.16%,0.00%,0.06%,0.00%,0.36%,0.36%,0.13%,0.34%,0.42%,0.14%,0.35%,PK-6,Yes
25160,Willapa Valley,3444,Willapa Elementary,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,K-5,No
27001,Steilacoom Hist.,3446,Cherrydale Elementary,168,0.54%,0.89%,0.13%,2.98%,2.48%,0.33%,0.29%,0.57%,0.52%,0.34%,1.13%,K-3,Yes
27003,Puyallup,3447,Aylen Jr High,163,0.70%,0.15%,0.29%,1.53%,1.72%,0.63%,0.60%,1.39%,2.13%,1.36%,1.62%,9-Jul,Yes
27010,Tacoma,3448,Truman,163,3.00%,2.39%,1.14%,4.65%,4.30%,4.08%,2.56%,2.97%,5.81%,2.65%,4.32%,8-Jun,Yes
27010,Tacoma,3449,Birney,163,3.08%,0.41%,1.37%,2.39%,2.32%,3.91%,2.63%,4.78%,4.12%,2.72%,3.62%,PK-5,Yes
27010,Tacoma,3452,Whittier,163,0.19%,0.00%,0.00%,0.00%,0.41%,0.26%,0.18%,0.05%,0.11%,0.25%,0.28%,PK-5,Yes
27010,Tacoma,3453,McCarver,163,5.56%,10.80%,3.73%,5.43%,6.18%,4.00%,5.15%,5.87%,6.31%,3.75%,5.91%,PK-5,Yes
27400,Clover Park,3454,Beachwood Elementary School,170,0.17%,0.00%,0.00%,0.25%,0.11%,0.17%,0.21%,0.11%,0.27%,0.25%,0.23%,PK-5,Yes
27400,Clover Park,3455,Dower Elementary School,170,0.58%,0.00%,0.00%,2.67%,0.38%,0.29%,0.55%,0.73%,0.19%,0.40%,0.60%,PK-5,Yes
27400,Clover Park,3457,Carter Lake Elementary School,170,0.21%,0.59%,0.13%,0.00%,0.12%,0.33%,0.22%,0.09%,0.41%,0.32%,0.41%,PK-5,Yes
27416,White River,3458,Glacier Middle School,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8-Jun,No
30029,Mount Pleasant,3459,Mount Pleasant School,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,K-8,No
