id,county,rural_urban,urban_influence,high_school,bachelors,clinton,trump,otherVotes,totalVotes,num_pov_all,percent_pov_all,num_pov_child,percent_pov_child,labor_total_2014,employed_2014,unemployed_2014,labor_total_2015,employed_2015,unemployed_2015,labor_total_2016,employed_2016,unemployed_2016,labor_total_2017,employed_2017,unemployed_2017,med_household_income_2017,medHHIncome_percent_state_2017,totalPop,white,black,native,asian,pacificIslander,otherRace,multiracial,hispanicLatino,whiteAlone,census_2009,estimate_2010,estimate_2011,estimate_2012,estimate_2013,estimate_2014,estimate_2015,prelim_estimate_2016,projection_2017
11,Franklin County,2,2,"13,173","8,329","8,886","13,206","1,628","23,720","11,904",13.4,"5,376",18.2," 38,056 "," 34,886 "," 3,170 "," 38,981 "," 36,002 "," 2,979 "," 39,844 "," 36,916 "," 2,928 ",40873,38294,2579,"$61,285",86.4,78163,60.5,1.9,0.7,1.8,0.1,31.8,3.2,51.2,43.2,"48,754","53,355","53,644","56,221","56,105","58,538","57,664","58,854","57,535"
12,Garfield County,8,7,57,377,279,851,116,"1,246",305,14,99,22.2,960,897,63,930,872,58,919,866,53,916,866,50,"$52,682",74.3,2266,93.8,0,0.3,1.7,0,2.3,1.9,4,92.8,"45,672","43,915","44,608","45,187","44,446","44,684","46,616","46,358","51,119"
13,Grant County,5,8,"13,858","9,369","7,810","18,518","2,018","28,346","13,838",14.7,"5,656",20.3," 44,845 "," 41,513 "," 3,332 "," 44,711 "," 41,432 "," 3,279 "," 44,567 "," 41,422 "," 3,145 ",45310,42475,2835,"$55,807",78.7,89120,72.8,1.1,1.2,0.9,0.1,20.4,3.5,38.3,57.3,"41,195","42,799","42,994","45,021","46,036","50,356","50,067","52,981","51,330"
14,Grays Harbor County,4,5,"5,801","7,759","12,020","14,067","2,280","28,367","12,780",18.3,"3,801",26.1," 27,202 "," 24,451 "," 2,751 "," 26,928 "," 24,474 "," 2,454 "," 27,238 "," 24,993 "," 2,245 ",27971,25993,1978,"$47,619",67.1,72797,84.9,1.1,4.6,1.4,0.3,3.9,3.9,8.6,81.4,"39,927","39,452","39,836","40,354","40,323","41,687","43,902","44,627","48,517"
15,Island County,4,3,"2,948","18,840","20,960","18,465","3,451","42,876","7,467",9.2,"1,821",12.1," 31,725 "," 29,630 "," 2,095 "," 31,767 "," 29,814 "," 1,953 "," 32,737 "," 30,827 "," 1,910 ",34259,32475,1784,"$63,529",89.6,78506,86.1,2.2,0.8,4.4,0.5,1.5,4.5,5.5,83.1,"55,016","53,754","54,206","55,091","52,014","57,919","59,961","61,691","65,671"
16,Jefferson County,6,6,"1,365","10,000","12,656","6,037","1,583","20,276","3,886",12.7,777,20.7," 11,196 "," 10,299 ",897," 11,200 "," 10,397 ",803," 11,507 "," 10,703 ",804,12021,11285,736,"$53,364",75.2,29872,91,0.8,2.3,1.6,0.2,0.7,3.4,2.8,89.3,"45,225","43,814","44,348","46,651","46,957","50,161","52,887","54,864","54,786"
17,King County,1,1,"110,255","754,825","718,322","216,339","63,838","998,499","200,415",9.3,"51,372",11.6," 1,158,195 "," 1,103,941 "," 54,254 "," 1,178,040 "," 1,127,580 "," 50,460 "," 1,204,361 "," 1,156,940 "," 47,421 ",1230208,1184708,45500,"$89,519",126.2,1931249,68.7,6.2,0.8,14.6,0.8,3.9,5,8.9,64.8,"65,877","65,383","66,294","68,313","71,122","75,045","80,998","84,897","89,142"
18,Kitsap County,2,2,"10,099","56,652","63,156","49,018","12,143","124,317","21,357",8.3,"5,828",10.8," 113,577 "," 106,632 "," 6,945 "," 115,357 "," 108,912 "," 6,445 "," 118,179 "," 111,669 "," 6,510 ",121104,115166,5938,"$72,795",102.6,251133,82.6,2.6,1.6,4.9,0.9,1.6,5.8,6.2,79.1,"56,863","54,804","55,400","57,155","60,200","59,605","65,156","66,569","69,495"
19,Kittitas County,4,3,"2,337","9,207","7,489","10,100","1,366","18,955","6,185",14.2,"1,112",14.2," 20,200 "," 18,801 "," 1,399 "," 20,847 "," 19,544 "," 1,303 "," 21,533 "," 20,265 "," 1,268 ",22228,21048,1180,"$56,393",79.5,40915,89.3,0.9,1,2,0.1,3.7,3,7.6,86.1,"41,629","41,321","41,601","43,098","46,690","47,519","46,904","49,275","52,429"
20,Klickitat County,6,4,"1,925","3,972","4,194","5,789",786,"10,769","3,139",14.5,884,21.5," 9,586 "," 8,844 ",742," 9,458 "," 8,775 ",683," 9,642 "," 8,993 ",649,10051,9465,586,"$55,282",77.9,20318,87.7,0.2,2.4,0.6,0.1,5.6,3.3,10.7,83.8,"41,105","42,782","43,104","44,825","46,733","48,086","49,543","51,314","51,979"
21,Lewis County,4,3,"6,686","8,204","9,654","21,992","2,503","34,149","11,610",15,"3,512",21.4," 30,544 "," 27,780 "," 2,764 "," 31,232 "," 28,588 "," 2,644 "," 31,915 "," 29,452 "," 2,463 ",33151,30948,2203,"$50,086",70.6,75455,89.7,0.5,1.4,0.9,0.2,4,3.2,8.7,86,"38,701","37,947","38,325","41,208","39,609","42,406","47,143","47,893","47,398"
22,Lincoln County,8,7,671,"1,721","1,244","4,108",361,"5,713","1,322",12.6,389,17," 5,037 "," 4,747 ",290," 4,877 "," 4,590 ",287," 4,891 "," 4,621 ",270,4955,4710,245,"$53,504",75.4,10570,95,0.3,1.6,0.4,0,0.5,2.2,2.3,93.6,"44,126","43,632","43,936","45,690","46,956","48,976","49,276","51,019","55,234"
23,Mason County,4,3,"5,511","8,045","11,993","13,677","2,403","28,073","8,825",14.5,"2,738",23," 23,134 "," 21,203 "," 1,931 "," 23,021 "," 21,208 "," 1,813 "," 23,501 "," 21,746 "," 1,755 ",23843,22272,1571,"$55,030",77.6,60699,86.1,1.1,3.7,1.2,0.4,3.4,4.1,8,82.9,"47,898","47,273","47,724","48,804","47,142","52,598","53,633","55,824","54,364"
24,Okanogan County,6,6,"5,090","5,265","6,298","9,610","1,183","17,091","8,415",20.4,"2,707",28.6," 21,316 "," 19,796 "," 1,520 "," 21,239 "," 19,756 "," 1,483 "," 21,406 "," 19,997 "," 1,409 ",20930,19492,1438,"$44,819",63.2,41120,73.9,0.4,11.4,0.6,0.1,10.1,3.5,17.6,68.3,"35,227","34,915","35,161","35,848","36,292","35,146","41,426","41,028","40,912"
25,Pacific County,7,9,"2,015","2,743","4,620","5,360",736,"10,716","3,612",16.9,857,25.2," 7,857 "," 7,081 ",776," 8,101 "," 7,368 ",733," 8,289 "," 7,629 ",660,8410,7818,592,"$45,526",64.2,20920,87.4,0.4,2.3,2,0.1,4.4,3.4,8,84.6,"37,898","36,914","37,420","38,018","35,934","40,449","40,677","42,118","44,250"
26,Pend Oreille County,2,2,984,"1,962","1,934","4,373",495,"6,802","2,153",16.3,670,26.6," 4,581 "," 4,123 ",458," 4,602 "," 4,155 ",447," 4,660 "," 4,249 ",411,4734,4381,353,"$48,574",68.5,13001,91.6,0.4,3.8,0.6,0.1,0.7,2.9,3,89.8,"37,467","37,005","37,234","37,755","42,043","39,886","41,111","42,391","49,720"
